time,lon,lat,pre
1955-03-16,-73.75,4.75,83.6
1955-04-16,-73.75,4.75,157.7
1955-05-16,-73.75,4.75,103.200005
1955-06-16,-73.75,4.75,197.8
1955-07-16,-73.75,4.75,203.6
1955-08-16,-73.75,4.75,88.6
1955-09-16,-73.75,4.75,98.3
1955-10-16,-73.75,4.75,154.0
1955-11-16,-73.75,4.75,93.8
1955-12-16,-73.75,4.75,68.6
1956-01-16,-73.75,4.75,49.8
1956-02-15,-73.75,4.75,83.0
1956-03-16,-73.75,4.75,84.0
1956-04-16,-73.75,4.75,92.1
1956-05-16,-73.75,4.75,127.6
1956-06-16,-73.75,4.75,165.5
1956-07-16,-73.75,4.75,103.1
1956-08-16,-73.75,4.75,94.0
1956-09-16,-73.75,4.75,85.5
1956-10-16,-73.75,4.75,163.1
1956-11-16,-73.75,4.75,65.3
1956-12-16,-73.75,4.75,78.700005
1957-01-16,-73.75,4.75,10.3
1957-02-15,-73.75,4.75,33.0
1957-03-16,-73.75,4.75,83.4
1957-04-16,-73.75,4.75,129.8
1957-05-16,-73.75,4.75,202.3
1957-06-16,-73.75,4.75,72.3
1957-07-16,-73.75,4.75,89.3
1957-08-16,-73.75,4.75,64.4
1957-09-16,-73.75,4.75,77.6
1957-10-16,-73.75,4.75,146.2
1957-11-16,-73.75,4.75,66.6
1957-12-16,-73.75,4.75,27.5
1958-01-16,-73.75,4.75,15.5
1958-02-15,-73.75,4.75,24.800001
1958-03-16,-73.75,4.75,35.2
1958-04-16,-73.75,4.75,100.200005
